iter	Passed	Remaining
0	2	218
1	4	239
2	7	228
3	9	217
4	11	222
5	13	219
6	16	215
7	18	216
8	21	217
9	23	215
10	26	212
11	28	208
12	30	204
13	33	203
14	35	202
15	38	201
16	40	197
17	42	194
18	44	191
19	47	188
20	49	186
21	51	183
22	53	180
23	56	177
24	58	175
25	60	172
26	62	169
27	65	167
28	67	166
29	70	164
30	72	161
31	75	159
32	77	156
33	79	154
34	82	153
35	84	150
36	87	148
37	89	145
38	91	143
39	93	140
40	96	138
41	97	134
42	99	132
43	105	134
44	108	132
45	111	131
46	114	129
47	117	127
48	120	125
49	122	122
50	125	120
51	127	118
52	130	115
53	133	113
54	135	110
55	137	107
56	139	105
57	142	103
58	144	100
59	147	98
60	149	95
61	151	93
62	153	90
63	156	88
64	159	85
65	161	83
66	164	80
67	166	78
68	168	75
69	169	72
70	171	70
71	173	67
72	175	64
73	176	62
74	178	59
75	180	56
76	181	54
77	183	51
78	184	49
79	186	46
80	188	44
81	189	41
82	191	39
83	192	36
84	193	34
85	195	31
86	196	29
87	198	27
88	199	24
89	201	22
90	202	20
91	204	17
92	205	15
93	207	13
94	208	10
95	209	8
96	210	6
97	211	4
98	213	2
99	214	0
